Regulation,Language,Model,Accuracy,Accuracy_alt
EU_AI,English,text-embedding-3-large,0.8461538461538461,1.0
EU_AI,English,text-embedding-3-small,0.7692307692307693,0.9230769230769231
EU_AI,English,text-embedding-ada-002,0.8461538461538461,0.9615384615384616
EU_AI,German,text-embedding-3-large,0.8076923076923077,0.9615384615384616
EU_AI,German,text-embedding-3-small,0.46153846153846156,0.8846153846153846
EU_AI,German,text-embedding-ada-002,0.7692307692307693,0.9230769230769231
EU_AI,Greek,text-embedding-3-large,0.6538461538461539,0.9230769230769231
EU_AI,Greek,text-embedding-3-small,0.4230769230769231,0.6923076923076923
EU_AI,Greek,text-embedding-ada-002,0.5384615384615384,0.8076923076923077
EU_AI,Hungarian,text-embedding-3-large,0.6538461538461539,0.8846153846153846
EU_AI,Hungarian,text-embedding-3-small,0.46153846153846156,0.7307692307692307
EU_AI,Hungarian,text-embedding-ada-002,0.4230769230769231,0.7307692307692307
EU_AI,Italian,text-embedding-3-large,0.7692307692307693,0.9615384615384616
EU_AI,Italian,text-embedding-3-small,0.5769230769230769,0.8076923076923077
EU_AI,Italian,text-embedding-ada-002,0.7307692307692307,0.8846153846153846
EU_AI,Romanian,text-embedding-3-large,0.6538461538461539,0.9615384615384616
EU_AI,Romanian,text-embedding-3-small,0.6153846153846154,0.8846153846153846
EU_AI,Romanian,text-embedding-ada-002,0.6538461538461539,0.8846153846153846
EU_Late_Payment,English,text-embedding-3-large,0.9230769230769231,1.0
EU_Late_Payment,English,text-embedding-3-small,0.6923076923076923,0.9230769230769231
EU_Late_Payment,English,text-embedding-ada-002,0.8461538461538461,0.9230769230769231
EU_Late_Payment,German,text-embedding-3-large,0.7692307692307693,0.9230769230769231
EU_Late_Payment,German,text-embedding-3-small,0.6153846153846154,0.7692307692307693
EU_Late_Payment,German,text-embedding-ada-002,0.6153846153846154,0.8461538461538461
EU_Late_Payment,Greek,text-embedding-3-large,0.6923076923076923,0.8461538461538461
EU_Late_Payment,Greek,text-embedding-3-small,0.6153846153846154,0.7692307692307693
EU_Late_Payment,Greek,text-embedding-ada-002,0.5384615384615384,0.7692307692307693
EU_Late_Payment,Hungarian,text-embedding-3-large,0.7692307692307693,0.9230769230769231
EU_Late_Payment,Hungarian,text-embedding-3-small,0.6153846153846154,0.7692307692307693
EU_Late_Payment,Hungarian,text-embedding-ada-002,0.8461538461538461,1.0
EU_Late_Payment,Italian,text-embedding-3-large,0.7692307692307693,0.9230769230769231
EU_Late_Payment,Italian,text-embedding-3-small,0.7692307692307693,0.7692307692307693
EU_Late_Payment,Italian,text-embedding-ada-002,0.8461538461538461,0.8461538461538461
EU_Late_Payment,Romanian,text-embedding-3-large,0.7692307692307693,1.0
EU_Late_Payment,Romanian,text-embedding-3-small,0.8461538461538461,0.8461538461538461
EU_Late_Payment,Romanian,text-embedding-ada-002,0.8461538461538461,0.8461538461538461
EU_Single_Currency,English,text-embedding-3-large,0.7692307692307693,0.9230769230769231
EU_Single_Currency,English,text-embedding-3-small,0.8205128205128205,0.9230769230769231
EU_Single_Currency,English,text-embedding-ada-002,0.7435897435897436,0.8717948717948718
EU_Single_Currency,French,text-embedding-3-large,0.8205128205128205,0.9743589743589743
EU_Single_Currency,French,text-embedding-3-small,0.7948717948717948,0.8717948717948718
EU_Single_Currency,French,text-embedding-ada-002,0.6666666666666666,0.8461538461538461
EU_Single_Currency,German,text-embedding-3-large,0.7948717948717948,0.9230769230769231
EU_Single_Currency,German,text-embedding-3-small,0.6153846153846154,0.7948717948717948
EU_Single_Currency,German,text-embedding-ada-002,0.717948717948718,0.8717948717948718
