Regulation,Language,Model,Question_No,Question_Text,FAISS 1st Ranked,FAISS 2nd Ranked,FAISS 3rd Ranked,FAISS Best Choice
EU_AI,English,text-embedding-3-large,1,Why do we need to regulate the use of Artificial Intelligence?,1,3,16,1
EU_AI,English,text-embedding-3-large,2,To whom does the AI Act apply?,17,2,4,2
EU_AI,English,text-embedding-3-large,3,What are the risk categories?,4,3,5,3
EU_AI,English,text-embedding-3-large,4,How do I know whether an AI system is high-risk?,3,4,5,4
EU_AI,English,text-embedding-3-large,5,What are examples for high-risk use cases as defined in Annex III?,5,4,3,5
EU_AI,English,text-embedding-3-large,6,What are the obligations for providers of high-risk AI systems?,15,6,3,6
EU_AI,English,text-embedding-3-large,7,What would be the role of standardisation in the AI Act?,7,22,11,7
EU_AI,English,text-embedding-3-large,8,How are general-purpose AI models being regulated?,8,3,3,8
EU_AI,English,text-embedding-3-large,9,Why is 10^25 FLOPs an appropriate threshold for GPAI with systemic risks?,9,8,3,9
EU_AI,English,text-embedding-3-large,10,What are the obligations regarding watermarking and labelling of the AI outputs set out in the AI Act?,10,8,22,10
EU_AI,English,text-embedding-3-large,11,Is the AI Act future-proof?,11,1,3,11
EU_AI,English,text-embedding-3-large,12,How does the AI Act regulate biometric identification?,12,3,13,12
EU_AI,English,text-embedding-3-large,13,Why are particular rules needed for remote biometric identification?,13,12,3,13
EU_AI,English,text-embedding-3-large,14,How do the rules protect fundamental rights?,14,15,1,14
EU_AI,English,text-embedding-3-large,15,"What is a fundamental rights impact assessment? Who has to conduct such an assessment, and when?",15,14,6,15
EU_AI,English,text-embedding-3-large,16,How does this regulation address racial and gender bias in AI?,16,3,14,16
EU_AI,English,text-embedding-3-large,17,When will the AI Act be fully applicable?,17,7,25,17
EU_AI,English,text-embedding-3-large,18,How will the AI Act be enforced?,18,17,22,18
EU_AI,English,text-embedding-3-large,19,Why is a European Artificial Intelligence Board needed and what will it do?,19,18,1,19
EU_AI,English,text-embedding-3-large,20,What are the penalties for infringement?,20,6,22,20
EU_AI,English,text-embedding-3-large,21,How will the General-Purpose AI Code of Practice be written?,21,22,8,21
EU_AI,English,text-embedding-3-large,22,"If approved, how does the Code of Practice for general-purpose AI model providers serve as a central tool for compliance?",22,8,21,22
EU_AI,English,text-embedding-3-large,23,Does the AI Act contain provisions regarding environmental protection and sustainability?,23,11,1,23
EU_AI,English,text-embedding-3-large,24,How can the new rules support innovation?,24,11,8,24
EU_AI,English,text-embedding-3-large,25,What role does the AI Pact play in the implementation of the AI Act?,25,18,19,25
EU_AI,English,text-embedding-3-large,26,What is the international dimension of the EU's approach?,26,1,25,26
EU_AI,English,text-embedding-3-small,1,Why do we need to regulate the use of Artificial Intelligence?,3,24,1,1
EU_AI,English,text-embedding-3-small,2,To whom does the AI Act apply?,17,18,11,17
EU_AI,English,text-embedding-3-small,3,What are the risk categories?,4,5,15,4
EU_AI,English,text-embedding-3-small,4,How do I know whether an AI system is high-risk?,4,6,5,4
EU_AI,English,text-embedding-3-small,5,What are examples for high-risk use cases as defined in Annex III?,5,4,15,5
EU_AI,English,text-embedding-3-small,6,What are the obligations for providers of high-risk AI systems?,15,6,8,6
EU_AI,English,text-embedding-3-small,7,What would be the role of standardisation in the AI Act?,11,7,18,7
EU_AI,English,text-embedding-3-small,8,How are general-purpose AI models being regulated?,8,3,24,8
EU_AI,English,text-embedding-3-small,9,Why is 10^25 FLOPs an appropriate threshold for GPAI with systemic risks?,9,8,5,9
EU_AI,English,text-embedding-3-small,10,What are the obligations regarding watermarking and labelling of the AI outputs set out in the AI Act?,10,24,3,10
EU_AI,English,text-embedding-3-small,11,Is the AI Act future-proof?,11,17,3,11
EU_AI,English,text-embedding-3-small,12,How does the AI Act regulate biometric identification?,12,3,13,12
EU_AI,English,text-embedding-3-small,13,Why are particular rules needed for remote biometric identification?,13,12,5,13
EU_AI,English,text-embedding-3-small,14,How do the rules protect fundamental rights?,14,15,3,14
EU_AI,English,text-embedding-3-small,15,"What is a fundamental rights impact assessment? Who has to conduct such an assessment, and when?",15,14,6,15
EU_AI,English,text-embedding-3-small,16,How does this regulation address racial and gender bias in AI?,16,14,3,16
EU_AI,English,text-embedding-3-small,17,When will the AI Act be fully applicable?,17,25,11,17
EU_AI,English,text-embedding-3-small,18,How will the AI Act be enforced?,18,17,11,18
EU_AI,English,text-embedding-3-small,19,Why is a European Artificial Intelligence Board needed and what will it do?,19,18,26,19
EU_AI,English,text-embedding-3-small,20,What are the penalties for infringement?,20,10,3,20
EU_AI,English,text-embedding-3-small,21,How will the General-Purpose AI Code of Practice be written?,22,21,10,21
EU_AI,English,text-embedding-3-small,22,"If approved, how does the Code of Practice for general-purpose AI model providers serve as a central tool for compliance?",22,21,8,22
EU_AI,English,text-embedding-3-small,23,Does the AI Act contain provisions regarding environmental protection and sustainability?,23,11,18,23
EU_AI,English,text-embedding-3-small,24,How can the new rules support innovation?,24,11,20,24
EU_AI,English,text-embedding-3-small,25,What role does the AI Pact play in the implementation of the AI Act?,25,18,11,25
EU_AI,English,text-embedding-3-small,26,What is the international dimension of the EU's approach?,26,1,19,26
EU_AI,English,text-embedding-ada-002,1,Why do we need to regulate the use of Artificial Intelligence?,24,3,1,1
EU_AI,English,text-embedding-ada-002,2,To whom does the AI Act apply?,18,17,11,18
EU_AI,English,text-embedding-ada-002,3,What are the risk categories?,4,5,3,3
EU_AI,English,text-embedding-ada-002,4,How do I know whether an AI system is high-risk?,4,6,5,4
EU_AI,English,text-embedding-ada-002,5,What are examples for high-risk use cases as defined in Annex III?,5,3,4,5
EU_AI,English,text-embedding-ada-002,6,What are the obligations for providers of high-risk AI systems?,6,15,3,6
EU_AI,English,text-embedding-ada-002,7,What would be the role of standardisation in the AI Act?,7,11,23,7
EU_AI,English,text-embedding-ada-002,8,How are general-purpose AI models being regulated?,8,3,24,8
EU_AI,English,text-embedding-ada-002,9,Why is 10^25 FLOPs an appropriate threshold for GPAI with systemic risks?,9,8,3,9
EU_AI,English,text-embedding-ada-002,10,What are the obligations regarding watermarking and labelling of the AI outputs set out in the AI Act?,10,11,2,10
EU_AI,English,text-embedding-ada-002,11,Is the AI Act future-proof?,11,17,1,11
EU_AI,English,text-embedding-ada-002,12,How does the AI Act regulate biometric identification?,12,3,11,12
EU_AI,English,text-embedding-ada-002,13,Why are particular rules needed for remote biometric identification?,13,12,3,13
EU_AI,English,text-embedding-ada-002,14,How do the rules protect fundamental rights?,14,15,1,14
EU_AI,English,text-embedding-ada-002,15,"What is a fundamental rights impact assessment? Who has to conduct such an assessment, and when?",15,14,2,15
EU_AI,English,text-embedding-ada-002,16,How does this regulation address racial and gender bias in AI?,16,14,24,16
